,0
1,AB
2,ABa
3,ABal
4,ABala
5,ABalaa
6,ABalaaa
7,ABalaaaa
8,ABalaaaal
9,ABalaaaala
10,ABalaaaalal
11,ABalaaaalala
12,ABalaaaalalp
13,ABalaaaalar
14,ABalaaaalara
15,ABalaaaalaraa
16,ABalaaaalarap
17,ABalaaaalarp
18,ABalaaaalarpa
19,ABalaaaalarpp
20,ABalaaaalp
21,ABalaaaalpa
22,ABalaaaalpaa
23,ABalaaaalpap
24,ABalaaaalpp
25,ABalaaaalppa
26,ABalaaaalppaa
27,ABalaaaalppap
28,ABalaaaalppapa
29,ABalaaaalppapp
30,ABalaaaalppp
31,ABalaaaar
32,ABalaaaarl
33,ABalaaaarla
34,ABalaaaarlaa
35,ABalaaaarlaaa
36,ABalaaaarlaaaa
37,ABalaaaarlaaap
38,ABalaaaarlaap
39,ABalaaaarlaapa
40,ABalaaaarlaapp
41,ABalaaaarlap
42,ABalaaaarlapa
43,ABalaaaarlapaa
44,ABalaaaarlapaaa
45,ABalaaaarlapaap
46,ABalaaaarlapap
47,ABalaaaarlapp
48,ABalaaaarlappa
49,ABalaaaarlappp
50,ABalaaaarlp
51,ABalaaaarlpa
52,ABalaaaarlpaa
53,ABalaaaarlpap
54,ABalaaaarlpp
55,ABalaaaarlppa
56,ABalaaaarlppaa
57,ABalaaaarlppaaa
58,ABalaaaarlppaaaa
59,ABalaaaarlppaaap
60,ABalaaaarlppaap
61,ABalaaaarlppaapa
62,ABalaaaarlppaapp
63,ABalaaaarlppap
64,ABalaaaarlppp
65,ABalaaaarlpppa
66,ABalaaaarlpppp
67,ABalaaaarr
68,ABalaaaarra
69,ABalaaaarraa
70,ABalaaaarrap
71,ABalaaaarrp
72,ABalaaaarrpa
73,ABalaaaarrpp
74,ABalaaaarrppa
75,ABalaaaarrppaa
76,ABalaaaarrppap
77,ABalaaaarrppp
78,ABalaaaarrpppa
79,ABalaaaarrpppp
80,ABalaaap
81,ABalaaapa
82,ABalaaapal
83,ABalaaapall
84,ABalaaapalla
85,ABalaaapallaa
86,ABalaaapallaaa
87,ABalaaapallaap
88,ABalaaapallaapa
89,ABalaaapallaapp
90,ABalaaapallap
91,ABalaaapallapa
92,ABalaaapallapaa
93,ABalaaapallapap
94,ABalaaapallapp
95,ABalaaapallp
96,ABalaaapalr
97,ABalaaapalra
98,ABalaaapalraa
99,ABalaaapalrap
100,ABalaaapalrapa
101,ABalaaapalrapp
102,ABalaaapalrappa
103,ABalaaapalrappaa
104,ABalaaapalrappap
105,ABalaaapalrappp
106,ABalaaapalrp
107,ABalaaapalrpa
108,ABalaaapalrpp
109,ABalaaapalrppa
110,ABalaaapalrppaa
111,ABalaaapalrppap
112,ABalaaapalrppp
113,ABalaaapalrpppa
114,ABalaaapalrpppp
115,ABalaaapar
116,ABalaaaparl
117,ABalaaaparla
118,ABalaaaparlaa
119,ABalaaaparlap
120,ABalaaaparlp
